tablenumber,tabledesc,tabletype,numcat,filenumber,startcol
int,text,text,int,text,int
1,TOTAL POPULATION [1]                                                                                ,P,1,1,6
2,UNWEIGHTED SAMPLE COUNT OF THE POPULATION [1]                                                       ,P,1,1,7
3,100-PERCENT COUNT OF THE POPULATION [1]                                                             ,P,1,1,8
4,PERCENT OF THE POPULATION IN SAMPLE [1]   (1 expressed,P,1,1,9
5,URBAN AND RURAL [7]                                                                                 ,P,7,1,10
6,RACE [8]                                                                                            ,P,8,1,17
7,HISPANIC OR LATINO BY RACE [17]                                                                     ,P,17,1,25
8,SEX BY AGE [79]                                                                                     ,P,79,1,42
9,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP [27]                                        ,P,27,1,121
10,HOUSEHOLD SIZE BY HOUSEHOLD TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS [19],P,19,1,148
11,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER [21],P,21,1,167
12,HOUSEHOLDS BY AGE OF HOUSEHOLDER BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS [31],P,31,1,188
13,HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER [19]                                                           ,P,19,1,219
14,HOUSEHOLD TYPE BY HOUSEHOLD SIZE [16]                                                               ,P,16,1,238
15,FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS  BY AGE OF OWN CHILDREN [20],P,20,2,6
16,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE [26]                                              ,P,26,2,26
17,FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER  18 YEARS BY AGE OF RELATED CHILDREN [20],P,20,2,52
18,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS  AND OVER [19],P,19,2,72
19,AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK  ENGLISH FOR THE POPULATION 5 YEARS AND OVER [67],P,67,2,91
20,HOUSEHOLD LANGUAGE BY LINGUISTIC ISOLATION [14]                                                     ,P,14,2,158
21,PLACE OF BIRTH BY CITIZENSHIP STATUS [15]                                                           ,P,15,2,172
22,YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION [9]                                                   ,P,9,2,187
23,YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE  FOREIGN-BORN POPULATION [10],P,10,2,196
24,RESIDENCE IN 1995 FOR THE POPULATION 5 YEARS AND  OVER--STATE AND COUNTY LEVEL [18],P,18,2,206
25,RESIDENCE IN 1995 FOR THE POPULATION 5 YEARS AND OVER--MSA/PMSA LEVEL [35],P,35,3,6
26,PLACE OF WORK FOR WORKERS 16 YEARS AND  OVER--STATE AND COUNTY LEVEL [5],P,5,3,41
27,PLACE OF WORK FOR WORKERS 16 YEARS AND  OVER--PLACE LEVEL [5],P,5,3,46
28,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--MSA/PMSA LEVEL [25],P,25,3,51
29,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--MINOR  CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT ME MA MI MN NH NJ NY PA RI VT WI) [5],P,5,3,76
30,MEANS OF TRANSPORTATION TO WORK FOR WORKERS 16 YEARS  AND OVER [16],P,16,3,81
31,TRAVEL TIME TO WORK FOR WORKERS 16 YEARS AND OVER [15]                                              ,P,15,3,97
32,TRAVEL TIME TO WORK BY MEANS OF TRANSPORTATION TO WORK  FOR WORKERS 16 YEARS AND OVER WHO DID NOT WORK AT HOME [13],P,13,3,112
33,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) BY TRAVEL TIME TO WORK BY MEANS OF TRANSPORTATION TO WORK FOR WORKERS 16 YEARS AND OVER WHO DID NOT WORK AT HOME [13],P,13,3,125
34,TIME LEAVING HOME TO GO TO WORK FOR WORKERS 16 YEARS AND OVER [17],P,17,3,138
35,PRIVATE VEHICLE OCCUPANCY FOR WORKERS 16 YEARS  AND OVER [10],P,10,3,155
36,SEX BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL BY  TYPE OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER [47],P,47,3,165
37,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION  25 YEARS AND OVER [35],P,35,3,212
38,ARMED FORCES STATUS BY SCHOOL ENROLLMENT BY EDUCATIONAL  ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 16 TO 19 YEARS [22],P,22,4,6
39,SEX BY AGE BY ARMED FORCES STATUS BY VETERAN STATUS  FOR THE POPULATION 18 YEARS AND OVER [23],P,23,4,28
40,PERIOD OF MILITARY SERVICE FOR CIVILIAN  VETERANS 18 YEARS AND OVER [21],P,21,4,51
41,AGE BY TYPES OF DISABILITY FOR THE CIVILIAN  NONINSTITUTIONALIZED POPULATION 5 YEARS AND OVER WITH DISABILITIES [19],P,19,4,72
42,SEX BY AGE BY DISABILITY STATUS BY EMPLOYMENT STATUS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 5 YEARS AND OVER [49],P,49,4,91
43,SEX BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER [15],P,15,4,140
44,FAMILY TYPE BY EMPLOYMENT STATUS [29]                                                               ,P,29,4,155
45,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY  AGE OF OWN CHILDREN BY EMPLOYMENT STATUS FOR FEMALES 16 YEARS AND OVER [22],P,22,4,184
46,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES  AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS [27],P,27,4,206
47,SEX BY WORK STATUS IN 1999 BY USUAL HOURS WORKED PER WEEK IN 1999 BY WEEKS WORKED IN 1999 FOR THE POPULATION 16 YEARS AND OVER [49],P,49,5,6
48,FAMILY TYPE BY NUMBER OF WORKERS IN FAMILY IN 1999 [21]                                             ,P,21,5,55
49,SEX BY INDUSTRY FOR THE EMPLOYED CIVILIAN POPULATION 16 YEARS AND OVER [55],P,55,5,76
50,SEX BY OCCUPATION FOR THE EMPLOYED CIVILIAN POPULATION 16 YEARS AND OVER [95],P,95,5,131
